reviews.text,cleaned_text,sentiment
"This is a great new product. Speaker sound quality it pretty good, and I love being able to stream music without a phone or tablet. It can tell you the news and weather and is learning new functions all the time. I think this is the wave of the future. It is nice having my own personal assistant around the house...now only if it could make me breakfast.",great new product speaker sound quality pretty good love able stream music without phone tablet tell news weather learning new functions time think wave future nice personal assistant around housenow could make breakfast,Positive
My grandson loves it . He was very happy with it .,grandson loves happy,Positive
i bought this for someone for a gift for xmas. this is a good simple tablet for someone to being with.,bought someone gift xmas good simple tablet someone,Neutral
"i love it just dont waste your money to pay for geek squad to install it, it takes less than 5 min and it basically installs itself",love dont waste money pay geek squad install takes less min basically installs,Positive
"I love the picture, easy to navigate, light weight and easy travel size . I bought 4 for Christmas presents.",love picture easy navigate light weight easy travel size bought christmas presents,Positive
I bought this as a gift for a girl in the second grade. She maneuvers around on it really good.,bought gift girl second grade maneuvers around really good,Positive
Ease of use and setup 9/10It would be nice if it was out of the box easier to view your own content.,ease use setup would nice box easier view content,Positive
"Got this for my nephew, he had a galaxy and loves the amazon",got nephew galaxy loves amazon,Positive
This gives me so many app and avenues to watch and stream directly.,gives many app avenues watch stream directly,Positive
"I bought this originally for my wife because she is always reading and was interested in a Kindle, though wasn't sure she could ever part with physical books. She loves it! Now with the Family Library option available we can all share our favorite books. I'm looking to buy one for myself and my teenage daughter this week, actually. Oh, and my wife has given up on physical books after this ;) She likes the backlight when reading in bed at night and the fact that it lasts for at least a week on a single charge.",bought originally wife always reading interested kindle though wasnt sure could ever part physical books loves family library option available share favorite books im looking buy one teenage daughter week actually oh wife given physical books likes backlight reading bed night fact lasts least week single charge,Positive
It was a great buy at Black Friday easy to use very portable,great buy black friday easy use portable,Positive
"Bought this tablet for my son, he loves it. Great investment",bought tablet son loves great investment,Positive
Good tablet for the price. Works as well as a more expensive model.,good tablet price works well expensive model,Positive
These are better for kids instead of those fancy and costly kid tablets if you set these up with right content they need. Resolution is not great though. You get what you pay for.,better kids instead fancy costly kid tablets set right content need resolution great though get pay,Positive
"If you want to stream video and use Kodi. This is the one to get. I bought this especially for the fact I could hard wire it to my router. No video pausing, skipping etc. Works great.",want stream video use kodi one get bought especially fact could hard wire router video pausing skipping etc works great,Positive
It is everything it promised. I use it to download books.,everything promised use download books,Positive
"Works great if you plan to have it in arms reach. You have to physically tap it to ask Alexa. Store rep knew what we wanted it for and never told us you had to tap, not voice activate. Returned to wait for indefinite out-of-stock Echo to get in eventually.",works great plan arms reach physically tap ask alexa store rep knew wanted never told us tap voice activate returned wait indefinite outofstock echo get eventually,Positive
"This is my 2nd unit. I liked the first one that my son gifted me so much, I got this second unit for the downstairs. The fact that it was 50% off form BestBuy didn't hurt either.",nd unit liked first one son gifted much got second unit downstairs fact form bestbuy didnt hurt either,Positive
"Got this for my wife for Christmas, wasn't sure she would use it. Turned out to be a great gift. Perfect for email, facebook with the Kids, get's her bookclub book delivered instantly from Amazon. And good battery life with a sharp picture.",got wife christmas wasnt sure would use turned great gift perfect email facebook kids gets bookclub book delivered instantly amazon good battery life sharp picture,Positive
Opened the box and was able to quickly and easily hook up to my wifi. Great to play music through.,opened box able quickly easily hook wifi great play music,Positive
"My wife gave this to me for Christmas and one for my daughter. For the money, I thought it wouldn't be worth it, but I was wrong. It is really way more powerful than I thought. I can do Word and Excel, PowerPoint, pdf's, work email, surf the Internet, movies, books, games...pretty much everything I thought I needed to spend 10X the money to get. I'm very surprised and happy with it. Only two I would change: a better picture and stop the ads on waking. This is a great value.",wife gave christmas one daughter money thought wouldnt worth wrong really way powerful thought word excel powerpoint pdfs work email surf internet movies books gamespretty much everything thought needed spend x money get im surprised happy two would change better picture stop ads waking great value,Positive
I love my Echo. I use it everyday. I recommend it.,love echo use everyday recommend,Positive
"Can't complain for the price of it on sale it does what it should at the speed that is appropriate,",cant complain price sale speed appropriate,Positive
I love my tablet no regrets the pic are great I recommend it!,love tablet regrets pic great recommend,Positive
"It's a great delivery vehicle for all your Amazon video and music needs. I bought it to watch PlayStation Vue (no more expensive Time Warner Cable for me!) It's built on Android OS so you can install Andriod apps. What I love about this box is that I can load my old school NES and SNES emulators and play them with the Bluetooth controller. You can also set up Kodi on it and you've got all kinds of movie, TV, music and gaming options using it. With micro SD card support and an extra USB port, this device is so much better than the TV Stick, and it's a lot speedier. Highly recommended!",great delivery vehicle amazon video music needs bought watch playstation vue expensive time warner cable built android os install andriod apps love box load old school nes snes emulators play bluetooth controller also set kodi youve got kinds movie tv music gaming options using micro sd card support extra usb port device much better tv stick lot speedier highly recommended,Positive
Bought for one of my granddaughters. It was easy for me to get setup and off she went. Kids are too smart these days.,bought one granddaughters easy get setup went kids smart days,Positive
I love this product i have several flat screen tvs and i have bought several of these fire sticks as i unlock the stick to put kodi on it so i can watch all the latest and greatest shows for free including im movie theaters and live tv i would hogjly recommend this product especially if u know how to unlock the stick ;),love product several flat screen tvs bought several fire sticks unlock stick put kodi watch latest greatest shows free including im movie theaters live tv would hogjly recommend product especially u know unlock stick,Positive
Very happy with it. Set up was fast and easy. Worth the price,happy set fast easy worth price,Positive
"Love this e-reader! Lightweight, easy to read screen even in very bright conditions. Very easy to check out and return library books without ever going to the library. Would recommend this product to anyone",love ereader lightweight easy read screen even bright conditions easy check return library books without ever going library would recommend product anyone,Positive
This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,make excellent ebook reader dont expect much device except read basic ebooks good thing cheap good read sun,Positive
This is perfect for kids. The parental controls make me feel secure in letting my child use the tablet safely.,perfect kids parental controls make feel secure letting child use tablet safely,Positive
"My kids love these tablets, they can use these tablets for school and leisure. I can manage how much time they have to use their devices and can add additional accounts to each tablet and control each account separately. This was a great buy!",kids love tablets use tablets school leisure manage much time use devices add additional accounts tablet control account separately great buy,Positive
we got this for my dads girlfriend this year for christmas and she was able to just start using it right away. it is a bit akward to hold since it is so long but its not too bad. compared to my tab s2 it is pretty close when it comes to responsiveness. if you want something that is very easy to use and you dont mind the amazon marketplace constantly trying to insert ads and sell you things this is an awesome tablet that can actually have some of that stripped out if you know what to do and how to do it.,got dads girlfriend year christmas able start using right away bit akward hold since long bad compared tab pretty close comes responsiveness want something easy use dont mind amazon marketplace constantly trying insert ads sell things awesome tablet actually stripped know,Positive
"My wife owns one, so we bought one for my mom who is not tech-savvy, and she seems to be having great success with it so far. Had to buy a case separately because for some reason Best Buy doesn't have any avail in store or even on-line, but the Fire itself is great for light users.",wife owns one bought one mom techsavvy seems great success far buy case separately reason best buy doesnt avail store even online fire great light users,Positive
"I love my echo, it doe everything they say it does. I love listening to my music on my echo the speakers are really good.",love echo doe everything say love listening music echo speakers really good,Positive
I really enjoy using this tablet it runs very well,really enjoy using tablet runs well,Positive
Thumbs up. This was a good substitute to replace the current cable provider you use. Canadian customers would like this the best.,thumbs good substitute replace current cable provider use canadian customers would like best,Positive
This is a nice tablet for the price. Functional for your basic needs.,nice tablet price functional basic needs,Positive
I love the picture quality and the voice feature on the remote is priceless. Would buy again!!!,love picture quality voice feature remote priceless would buy,Positive
Picture is great. Quick response when going from site to site. Sound is not so good but what I expected from a tablet.,picture great quick response going site site sound good expected tablet,Positive
having a 4 and 6 years old kids helps a lot.. it provides music for the kids while they are playing and my kids can ask alexa everything especially asking vocabs...,years old kids helps lot provides music kids playing kids ask alexa everything especially asking vocabs,Positive
"Nice display, convenient size, lots of apps and books.",nice display convenient size lots apps books,Positive
So far it's great. This was a gift. She is gets this on today.,far great gift gets today,Positive
Great item easy to use and setup fast and great for surfing the web yes I would recommend,great item easy use setup fast great surfing web yes would recommend,Positive
Excelente !!,excelente,Positive
Bought for my three kids and so far there are no complaints. Easy to use!,bought three kids far complaints easy use,Positive
laods up quic k i love the voice remote...awesome product,laods quic k love voice remoteawesome product,Positive
Features that i never thought I would be interested.,features never thought would interested,Positive
I love this tablet and the games. But battery sucks. It goes dead really fast and it freezes up a lot.,love tablet games battery sucks goes dead really fast freezes lot,Neutral
Fast and responsive. Well worth the price for the convenience.,fast responsive well worth price convenience,Positive
"I got this for my kids and I am able to have parental control over all of them, put a time limit on play time, they each have their own apps, games and books that are appropriate for their age. My kids love it and they are learning! With this kids edition I get 1 free year of all kids appropriate app,games,videos and books!",got kids able parental control put time limit play time apps games books appropriate age kids love learning kids edition get free year kids appropriate appgamesvideos books,Positive
I purchased this as a replacement for an original Kindle. It's a great reader that works everywhere.,purchased replacement original kindle great reader works everywhere,Positive
Its a great tablet for a low price. There are thousands of apps and electronic books to read.,great tablet low price thousands apps electronic books read,Positive
"Have Amazon echo, dot and now the tap. All work very well, and.the tap sounds great.",amazon echo dot tap work well andthe tap sounds great,Positive
"I had to go through 2 tablets before getting this one, which is the best that I have ever had.",go tablets getting one best ever,Positive
Bought it for the kids to play with. I like it so far. Bought s few accessories to allow them to play with it,bought kids play like far bought accessories allow play,Positive
Decent and simple tablet that gets the job done.Excellent!,decent simple tablet gets job doneexcellent,Positive
"Bought on Black Friday, couldn't complain about the price. I bought 3. One for myself, one for my mom and one for my 4yr old step daughter. My mom loves the large font option. I love being able to browse the Web and watch netflix. My little one loves to play games on, thank goodness for the kid option! Don't have to worry about to going to non-kid-friendly apps/websites.",bought black friday couldnt complain price bought one one mom one yr old step daughter mom loves large font option love able browse web watch netflix little one loves play games thank goodness kid option dont worry going nonkidfriendly appswebsites,Positive
"I have 90 books in my hand at all times, and will be adding more. I can read anywhere, light or dark and don't even need glasses. It was simple to put 30 books on the kindle in minutes. Wishing I had gotten one years ago. My Dad even wants one! I love my Kindle paperwhite!!!",books hand times adding read anywhere light dark dont even need glasses simple put books kindle minutes wishing gotten one years ago dad even wants one love kindle paperwhite,Positive
I enjoy using my kindle. It is lightweight and I can just take it out and read while waiting for the bus or at any time. The Kindle is easy to use and easy on the eyes and it is perfect when reading outdoors.,enjoy using kindle lightweight take read waiting bus time kindle easy use easy eyes perfect reading outdoors,Positive
"Sharp screen that's not too big or small. Takes some getting used to if you normally use an IPhone. Be prepared for ads, which must be the reason they can sell it at such a low price. Slim profile, just heavy enough to feel substantial and high quality. Hard to find cases at physical stores.",sharp screen thats big small takes getting used normally use iphone prepared ads must reason sell low price slim profile heavy enough feel substantial high quality hard find cases physical stores,Positive
"Everyone should have one because it has so many great features. Listen to music, control home security, find out what the weather is and all by just asking.",everyone one many great features listen music control home security find weather asking,Positive
Purchased for 4 yr old granddaughter who primarily uses for Netflix. Works great!,purchased yr old granddaughter primarily uses netflix works great,Positive
Still getting more and more abilities loaded onto system.,still getting abilities loaded onto system,Positive
It has been one of the best purchases ever. It is very simple to use.,one best purchases ever simple use,Positive
I love the size and the well-lit screen. The words appear very crisp and easy to read!!!,love size welllit screen words appear crisp easy read,Positive
I love Alexa and that lady knows everything. I have even hooked up some more functions to her.,love alexa lady knows everything even hooked functions,Positive
Got this tablet for my spouse who has never had one before and it's perfect for him!,got tablet spouse never one perfect,Positive
I love it! Perfect size to carry with me in my purse.,love perfect size carry purse,Positive
"My daughter loves that it is pink and she enjoys watching videos/playing on the tablet, which is what really matters. Sufficient and cheaper alternative to the more expensive tablet alternatives.",daughter loves pink enjoys watching videosplaying tablet really matters sufficient cheaper alternative expensive tablet alternatives,Positive
"With a 300+ book library, I'm an avid reader. But when you're teaching a 1200-page behemoth, carting it around becomes a bit of a burden. With the Kindle, it weighs almost nothing. Plus with the Paperwhite, I can read when the wife goes to sleep without getting kicked out because of lamplight! Love it",book library im avid reader youre teaching page behemoth carting around becomes bit burden kindle weighs almost nothing plus paperwhite read wife goes sleep without getting kicked lamplight love,Positive
"The Fire tablet does everything I need it to do. Bought this as a gift for my 10 year old and he couldn't be happier. He can download all his games and apps, I like the parental controls on it.",fire tablet everything need bought gift year old couldnt happier download games apps like parental controls,Positive
"I have the older Kindle with keyboard. This one is lighter, touchscreen, and has the back light. It was worth the extra $ to buy this one with the backlight. My daughter doesn't need to worry about whether she has a book light with her when she reads on long trips. A+",older kindle keyboard one lighter touchscreen back light worth extra buy one backlight daughter doesnt need worry whether book light reads long trips,Positive
"Bought one of these to get something to try out Kodi, as a streaming media device it works really well. I love the fact you can have your Netflix and other apps right at hand, I can still run plex and Kodi installs In a matter of minutes. Nice to have a single device to run all my needs and totally replaced the need for cable. The sticks work well but the extra grunt of this is worth the additional spend.",bought one get something try kodi streaming media device works really well love fact netflix apps right hand still run plex kodi installs matter minutes nice single device run needs totally replaced need cable sticks work well extra grunt worth additional spend,Positive
"We are pretty unhappy with this purchase. Several of the most popular apps (Instagram, You Tube, etc.) are NOT compatible with this device. Now I know why the sale on this was so great. We can really only run the internet and Facebook on this device. Will be returning and getting a different tablet.",pretty unhappy purchase several popular apps instagram tube etc compatible device know sale great really run internet facebook device returning getting different tablet,Neutral
Got this item during a sale and absolutely love it. It is a lot of fun and easy to use.,got item sale absolutely love lot fun easy use,Positive
"This item is ok,haven't really used it to the full extent need to learn more and figure out what other benefits it has to offer.",item okhavent really used full extent need learn figure benefits offer,Neutral
"While I find myself limited at the moment to playing music and adding to my grocery list, I look forward to expanding my connected home. For what I use it for, it is fantastic. It even works great with answering questions the kids have and responding quickly to needs. It understands fairly well and it hears me throughout the house.",find limited moment playing music adding grocery list look forward expanding connected home use fantastic even works great answering questions kids responding quickly needs understands fairly well hears throughout house,Positive
This item is ok if your not looking for a big name brand tablet.,item ok looking big name brand tablet,Positive
Love the paperwhite! no glare- easy to hold. The built in light is also great for night reading. I had the Kindle app on my Galaxy tablet but never used it because of the glare.,love paperwhite glare easy hold built light also great night reading kindle app galaxy tablet never used glare,Positive
This tablet is simple to set up and it's worth the price. It's perfect for beginners.,tablet simple set worth price perfect beginners,Positive
My granddaughter loves it uses it a lot helps with her homework,granddaughter loves uses lot helps homework,Positive
This is by far the best streaming device I've ever owned!,far best streaming device ive ever owned,Positive
